#--------------------------------------------------------------------------------,
Database origin             ,,            15.,WOD code,ICES (International Council for the Exploration of the Sea),
Original units        ,Oxygen,            88.,NODC code,ml/l (milli-iter per liter),
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,,
         1,        0.,0, ,     3.670,0, ,     5.397,0, ,      326.,0, ,
         2,        5.,0, ,     3.672,0, ,     5.398,0, ,      320.,0, ,
         3,       10.,0, ,     3.673,0, ,     5.399,0, ,      329.,0, ,
         4,       15.,0, ,     3.676,0, ,     5.401,0, ,      328.,0, ,
         5,       20.,0, ,     3.862,0, ,     5.526,0, ,      317.,0, ,
         6,       25.,0, ,        4.,0, ,     5.622,0, ,      296.,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,       18851536,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,EE-178         ,,,
Originators Station ID      ,,               ,,,alpha,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,         57.617,decimal degrees,,
Longitude                   ,,         23.617,decimal degrees,,
Year                        ,,           2018,,,
Month                       ,,              1,,,
Day                         ,,              9,,,
Time                        ,,          17.60,decimal hours (UT),,
METADATA,
Country                     ,,             EE,NODC code,ESTONIA
Accession Number            ,,        175327.,NODC code,,
Platform                    ,,          9833.,OCL code,SALME (F/V; call sign ES2408; built 1974; ex Neshamar 1999;IMO7431337),
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            15.,WOD code,ICES (International Council for the Exploration of the Sea),
Original units        ,Oxygen,            88.,NODC code,ml/l (milli-iter per liter),
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,,
         1,        0.,0, ,     4.228,0, ,     5.654,0, ,   ---*---,0, ,
         2,        5.,0, ,     4.232,0, ,     5.655,0, ,   ---*---,0, ,
         3,       10.,0, ,     4.232,0, ,     5.655,0, ,   ---*---,0, ,
         4,       15.,0, ,     4.231,0, ,     5.655,0, ,   ---*---,0, ,
         5,       20.,0, ,     4.232,0, ,     5.655,0, ,   ---*---,0, ,
         6,       25.,0, ,     4.234,0, ,     5.655,0, ,   ---*---,0, ,
         7,       30.,0, ,     4.235,0, ,     5.655,0, ,   ---*---,0, ,
         8,       35.,0, ,     4.235,0, ,     5.655,0, ,   ---*---,0, ,
         9,       40.,0, ,     4.234,0, ,     5.655,0, ,   ---*---,0, ,
        10,       45.,0, ,     4.235,0, ,     5.655,0, ,   ---*---,0, ,
        11,       50.,0, ,     4.235,0, ,     5.655,0, ,   ---*---,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
